Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Alt Text,SEO Title,SEO Description,Collection
premium-bamboo-cutting-board,Premium Bamboo Cutting Board,"<p>Crafted from sustainable bamboo, this cutting board is naturally antimicrobial and knife-friendly. Features deep juice grooves and a comfortable grip handle. Perfect for everyday meal prep.</p><ul><li>Sustainable bamboo</li><li>Juice groove design</li><li>40cm x 30cm x 2cm</li><li>Easy to clean</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils > Cutting Boards,Kitchen Accessories,"kitchen, cutting-board, bamboo, premium, best-seller",true,Size,Large,,,IH-KC-001,800,shopify,50,deny,manual,34.99,44.99,true,true,,Premium bamboo cutting board with juice grooves,Premium Bamboo Cutting Board | Intelligent Home,Sustainable bamboo cutting board with juice grooves. Perfect for everyday meal prep. Free shipping over $50.,Kitchen
premium-bamboo-cutting-board,,,,,,,,Size,Medium,,,IH-KC-001-M,600,shopify,50,deny,manual,27.99,34.99,true,true,,,,,,
stainless-steel-utensil-set,Stainless Steel Utensil Set,"<p>Complete 6-piece kitchen utensil set made from premium 18/10 stainless steel. Includes spatula, ladle, slotted spoon, serving spoon, pasta server, and turner. Ergonomic handles with a modern matte finish.</p><ul><li>18/10 stainless steel</li><li>6 pieces</li><li>Dishwasher safe</li><li>Hanging loop on each piece</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,Kitchen Accessories,"kitchen, utensils, stainless-steel, set, premium",true,Material,Stainless Steel,,,IH-KC-002,1200,shopify,35,deny,manual,49.99,64.99,true,true,,6-piece stainless steel kitchen utensil set,Stainless Steel Utensil Set | Intelligent Home,Premium 6-piece stainless steel kitchen utensil set with ergonomic handles. Dishwasher safe.,Kitchen
ceramic-spoon-rest,Ceramic Spoon Rest,"<p>Elegant ceramic spoon rest keeps your countertops clean while cooking. The minimalist design complements any kitchen aesthetic. Non-slip base prevents sliding.</p><ul><li>Food-safe ceramic</li><li>Non-slip silicone base</li><li>Easy to clean</li><li>Heat resistant</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,Kitchen Accessories,"kitchen, spoon-rest, ceramic, minimalist",true,Color,White,,,IH-KC-003,250,shopify,80,deny,manual,14.99,19.99,true,true,,White ceramic spoon rest with minimalist design,Ceramic Spoon Rest | Intelligent Home,Elegant ceramic spoon rest with non-slip base. Keeps countertops clean while cooking.,Kitchen
ceramic-spoon-rest,,,,,,,,Color,Sage Green,,,IH-KC-003-G,250,shopify,60,deny,manual,14.99,19.99,true,true,,,,,,
magnetic-knife-holder,Magnetic Knife Holder Wall Mount,"<p>Space-saving magnetic knife holder made from natural acacia wood. Strong magnets securely hold knives of all sizes. Mounts easily to any wall and keeps knives within reach while freeing up counter space.</p><ul><li>Natural acacia wood</li><li>Strong neodymium magnets</li><li>Holds 6-8 knives</li><li>Wall mount hardware included</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,Kitchen Accessories,"kitchen, knife-holder, magnetic, wall-mount, wood",true,Size,40cm,,,IH-KC-004,500,shopify,40,deny,manual,39.99,54.99,true,true,,Acacia wood magnetic knife holder for wall mounting,Magnetic Knife Holder | Intelligent Home,Space-saving magnetic knife holder in natural acacia wood. Holds 6-8 knives securely.,Kitchen
glass-food-storage-set,Glass Food Storage Container Set,"<p>Set of 5 borosilicate glass containers with airtight bamboo lids. Microwave, oven, and freezer safe. Stackable design saves cabinet space. Say goodbye to plastic.</p><ul><li>Borosilicate glass</li><li>Bamboo lids with silicone seal</li><li>5 sizes included</li><li>Oven safe to 400°F</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Food Storage,Kitchen Accessories,"kitchen, storage, glass, containers, eco-friendly, best-seller",true,Set,5-Piece,,,IH-KC-005,2000,shopify,45,deny,manual,44.99,59.99,true,true,,5-piece glass food storage containers with bamboo lids,Glass Food Storage Set | Intelligent Home,Borosilicate glass food storage set with bamboo lids. Microwave and oven safe. Stackable.,Kitchen
silicone-cooking-spatula-set,Silicone Cooking Spatula Set,"<p>Heat-resistant silicone spatulas with solid beechwood handles. Non-stick safe and perfect for every cooking task. Set includes 3 sizes for all your kitchen needs.</p><ul><li>Food-grade silicone</li><li>Heat resistant to 480°F</li><li>Beechwood handles</li><li>3-piece set</li></ul>",Intelligent Home,Home & Garden > Kitchen & Dining > Kitchen Tools & Utensils,Kitchen Accessories,"kitchen, spatula, silicone, set, non-stick",true,Color,Charcoal,,,IH-KC-006,350,shopify,70,deny,manual,22.99,29.99,true,true,,3-piece silicone spatula set with beechwood handles,Silicone Spatula Set | Intelligent Home,Heat-resistant silicone spatula set with beechwood handles. Non-stick safe.,Kitchen
eco-dish-brush-set,Eco Dish Brush Set,"<p>Sustainable dish cleaning set with bamboo handles and plant-based bristles. Includes dish brush, bottle brush, and pan scraper. Biodegradable and plastic-free.</p><ul><li>Bamboo handles</li><li>Plant-based bristles</li><li>3-piece set</li><li>Replacement heads available</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, dish-brush, eco, bamboo, sustainable",true,Set,3-Piece,,,IH-CL-001,300,shopify,60,deny,manual,19.99,24.99,true,true,,Eco-friendly bamboo dish brush set - 3 pieces,Eco Dish Brush Set | Intelligent Home,Sustainable bamboo dish brush set with plant-based bristles. Plastic-free cleaning.,Cleaning
swedish-dishcloths,Swedish Dishcloths (6-Pack),"<p>Reusable and compostable Swedish dishcloths replace 17 rolls of paper towels each. Super absorbent cellulose and cotton blend. Machine washable up to 200 times.</p><ul><li>Replaces paper towels</li><li>Super absorbent</li><li>Machine washable</li><li>100% compostable</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, dishcloth, swedish, reusable, eco-friendly, best-seller",true,Pattern,Botanical,,,IH-CL-002,150,shopify,100,deny,manual,16.99,21.99,true,true,,6-pack reusable Swedish dishcloths in botanical pattern,Swedish Dishcloths | Intelligent Home,Reusable Swedish dishcloths. Each replaces 17 rolls of paper towels. Machine washable.,Cleaning
swedish-dishcloths,,,,,,,,Pattern,Minimalist,,,IH-CL-002-M,150,shopify,80,deny,manual,16.99,21.99,true,true,,,,,,
premium-spray-bottle-set,Premium Glass Spray Bottle Set,"<p>Beautiful amber glass spray bottles for homemade cleaning solutions. Includes waterproof labels and a recipe card for natural cleaners. Reduce plastic waste in style.</p><ul><li>500ml amber glass</li><li>3-bottle set</li><li>Waterproof labels included</li><li>Adjustable spray nozzle</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, spray-bottle, glass, amber, eco-friendly",true,Set,3-Bottle,,,IH-CL-003,1500,shopify,40,deny,manual,29.99,39.99,true,true,,Amber glass spray bottle set with waterproof labels,Premium Spray Bottle Set | Intelligent Home,Beautiful amber glass spray bottles for natural cleaning solutions. 3-bottle set with labels.,Cleaning
microfiber-cloth-set,Premium Microfiber Cloth Set,"<p>Ultra-soft microfiber cloths for streak-free cleaning on any surface. Lint-free and super absorbent. Color-coded for different areas of your home.</p><ul><li>12 cloths included</li><li>300 GSM premium weight</li><li>Color-coded system</li><li>Machine washable 500+ times</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, microfiber, cloths, reusable, premium",true,Set,12-Pack,,,IH-CL-004,400,shopify,55,deny,manual,24.99,32.99,true,true,,12-pack premium microfiber cloths color-coded for different surfaces,Premium Microfiber Cloths | Intelligent Home,Ultra-soft premium microfiber cloths. Streak-free cleaning. 12-pack with color-coded system.,Cleaning
natural-cleaning-brush-kit,Natural Cleaning Brush Kit,"<p>Complete home cleaning brush set with coconut fiber and tampico bristles. Includes grout brush, scrub brush, bottle brush, and detail brush. All with sustainable beechwood handles.</p><ul><li>4 brush types</li><li>Natural fiber bristles</li><li>Beechwood handles</li><li>Cotton storage bag</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, brush-kit, natural, coconut-fiber, sustainable",true,Set,4-Piece,,,IH-CL-005,600,shopify,35,deny,manual,34.99,44.99,true,true,,Natural cleaning brush kit with 4 brush types,Natural Cleaning Brush Kit | Intelligent Home,Complete home cleaning brush set with natural fibers and beechwood handles. 4 brushes included.,Cleaning
toilet-brush-and-holder,Silicone Toilet Brush & Holder,"<p>Modern silicone toilet brush that's more hygienic than traditional bristle brushes. Quick-drying design with ventilated holder. Sleek matte finish complements any bathroom.</p><ul><li>Flexible silicone head</li><li>Quick-dry ventilated holder</li><li>Wall-mount or freestanding</li><li>Matte white finish</li></ul>",Intelligent Home,Home & Garden > Household Supplies > Cleaning Tools,Cleaning,"cleaning, toilet-brush, silicone, bathroom, modern",true,Color,Matte White,,,IH-CL-006,450,shopify,45,deny,manual,21.99,27.99,true,true,,Modern silicone toilet brush with ventilated holder,Silicone Toilet Brush | Intelligent Home,Modern silicone toilet brush. More hygienic and quick-drying. Sleek matte white design.,Cleaning
linen-duvet-cover-set,Linen Duvet Cover Set,"<p>Luxuriously soft stonewashed linen duvet cover set. Gets softer with every wash. Includes duvet cover and two pillowcases. Breathable and temperature-regulating for year-round comfort.</p><ul><li>100% European flax linen</li><li>Stonewashed finish</li><li>Hidden button closure</li><li>OEKO-TEX certified</li></ul>",Intelligent Home,Home & Garden > Bedding > Duvet Covers,Bedroom,"bedroom, duvet, linen, premium, breathable",true,Size,Queen,Color,Natural,IH-BD-001,2200,shopify,25,deny,manual,129.99,169.99,true,true,,Stonewashed linen duvet cover set in natural color,Linen Duvet Cover Set | Intelligent Home,Luxurious stonewashed European linen duvet cover set. Gets softer with every wash.,Bedroom
linen-duvet-cover-set,,,,,,,,Size,King,Color,Natural,IH-BD-001-K,2500,shopify,20,deny,manual,149.99,189.99,true,true,,,,,,
linen-duvet-cover-set,,,,,,,,Size,Queen,Color,Sage,IH-BD-001-QS,2200,shopify,20,deny,manual,129.99,169.99,true,true,,,,,,
